2300,1502,1,1,1,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140001,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,1,33000000,IDR,1,33000000,NULL,NULL
2300,1502,2,1,2,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140002,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,2,589200000,IDR,1,589200000,NULL,NULL
2300,1502,3,1,3,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140003,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,3,14800000,IDR,1,14800000,NULL,NULL
2300,1502,4,1,4,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140004,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,4,69427800000,IDR,1,69427800000,NULL,NULL
2300,1502,5,1,5,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140005,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,5,30600000,IDR,1,30600000,NULL,NULL
2300,1502,6,1,6,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140006,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,6,232400000,IDR,1,232400000,NULL,NULL
2300,1502,7,1,7,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140007,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,7,152600000,IDR,1,152600000,NULL,NULL
2300,1502,8,1,8,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140008,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,8,213100000,IDR,1,213100000,NULL,NULL
2300,1502,9,1,9,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140009,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,9,90200000,IDR,1,90200000,NULL,NULL
2300,1502,10,1,10,NULL,NULL,NULL,NULL,2015-02-11 08:55:00,NULL,Admin,Sys/FA/140010,2014-08-04 00:00:00,Migrasi Fixed Asset,NULL,10,1386900000,IDR,1,1386900000,NULL,NULL
