2100,1411,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,2,NULL,61060,0,1,1,NULL,NULL,61060,0
2100,1411,2,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,312,2,NULL,0,61060,1,1,NULL,NULL,0,61060
2100,1411,3,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,2,NULL,5983,0,1,1,NULL,NULL,5983,0
2100,1411,3,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,312,2,NULL,0,5983,1,1,NULL,NULL,0,5983
2100,1411,4,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,312,2,NULL,2086368,0,1,1,NULL,NULL,2086368,0
2100,1411,4,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,307,NULL,NULL,0,2086368,1,1,NULL,NULL,0,2086368
2100,1411,4,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,312,2,NULL,2110000,0,1,1,NULL,NULL,2110000,0
2100,1411,4,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,307,NULL,NULL,0,2110000,1,1,NULL,NULL,0,2110000
2100,1411,5,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,2,NULL,60410,0,1,1,NULL,NULL,60410,0
2100,1411,5,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,312,2,NULL,0,60410,1,1,NULL,NULL,0,60410
2100,1411,6,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,2,NULL,60410,0,1,1,NULL,NULL,60410,0
2100,1411,6,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,312,2,NULL,0,60410,1,1,NULL,NULL,0,60410
2100,1411,7,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,298,2,NULL,3020,0,1,1,NULL,NULL,3020,0
2100,1411,7,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,312,2,NULL,0,3020,1,1,NULL,NULL,0,3020
